卡名,Image URL,效果
光と昇華の竜,/yugiohdb/get_image.action?type=1&osplang=1&cid=20189&ciid=1&enc=7-MXBoEtB4chgKqDMKKIyQ,このカード名の①②③の効果はそれぞれ１ターンに１度しか使用できない。①：EXデッキからドラゴン族・レベル８モンスター１体を除外して発動できる。このカードを手札から特殊召喚する。このターン、自分はドラゴン族モンスターしか特殊召喚できない。②：自分メインフェイズに発動できる。自分の手札・フィールドのモンスターを融合素材とし、融合モンスター１体を融合召喚する。③：相手モンスターの攻撃宣言時に発動できる。このカードの攻撃力・守備力を５００ダウンし、その相手モンスターの攻撃力を１５００ダウンする。
闇と消滅の竜,/yugiohdb/get_image.action?type=1&osplang=1&cid=20190&ciid=1&enc=Ou3sFeJYalAEuCk_a7hxcA,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：EXデッキからドラゴン族・レベル８モンスター１体を除外して発動できる。このカードを手札から特殊召喚する。このターン、自分はドラゴン族モンスターしか特殊召喚できない。②：以下の効果から１つを選択して発動できる。●自分の手札・フィールドのモンスターを融合素材とし、融合モンスター１体を融合召喚する。●フィールドの他の攻撃表示モンスター１体を対象として発動できる。このカードの攻撃力・守備力を５００ダウンし、対象のモンスターを破壊する。
鎧騎士竜－ナイト・アームド・ドラゴン－,/yugiohdb/get_image.action?type=1&osplang=1&cid=20191&ciid=1&enc=b0fjE2YWxj4KfPboah4Yeg,このカード名の①②③の効果はそれぞれ１ターンに１度しか使用できない。①：自分がレベル５以上のドラゴン族モンスターを特殊召喚した場合に発動できる。このカードを手札から特殊召喚する。②：このカードが特殊召喚した場合に発動できる。このカードの属性・レベルは、自分の除外状態のドラゴン族モンスター１体と同じになる。③：このカードが墓地へ送られた場合、自分フィールドのドラゴン族モンスター１体を対象として発動できる（この効果の発動に対してお互いは効果を発動できない）。そのモンスターの攻撃力は１０００アップする。
白き森のアステーリャ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20192&ciid=1&enc=4FEpPMtQxVNfmgJX__6KiA,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分の手札・フィールドから魔法・罠カード１枚を墓地へ送って発動できる。デッキから魔法使い族・光属性チューナー１体を特殊召喚する。②：このカードが墓地に存在する状態で、魔法・罠カードがモンスターの効果を発動するために自分の墓地へ送られた場合に発動できる。このカードを特殊召喚する。
白き森のリゼット,/yugiohdb/get_image.action?type=1&osplang=1&cid=20193&ciid=1&enc=yQYSfSHARaQoO5lSpYqriQ,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分の手札・フィールドから魔法・罠カード１枚を墓地へ送って発動できる。このカードを手札から特殊召喚する。その後、デッキから「白き森のリゼット」以外の「白き森」モンスター１体を手札に加える。②：このカードが墓地に存在する状態で、相手ターンに自分フィールドに魔法使い族・光属性チューナーが特殊召喚された場合に発動できる。このカードを手札に加える。
白き森のシルヴィ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20194&ciid=1&enc=pgBDz08I2CQpsdygNotkPw,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：このカードが召喚・特殊召喚した場合に発動できる。デッキから「白き森」魔法・罠カード１枚を手札に加える。②：自分・相手ターンに、このカードが墓地に存在する場合、自分のフィールド・墓地の「白き森」Sモンスター１体を対象として発動できる。そのモンスターをEXデッキに戻し、このカードを効果を無効にして特殊召喚する。
白き森のルシア,/yugiohdb/get_image.action?type=1&osplang=1&cid=20195&ciid=1&enc=jSfneCeLt44zsKMERGBptQ,このカード名の①②③の効果はそれぞれ１ターンに１度しか使用できない。①：自分フィールドに「白き森」モンスターが存在する場合に発動できる。このカードを手札から特殊召喚する。②：自分の手札・フィールドから魔法・罠カード１枚を墓地へ送って発動できる。自分は１枚ドローする。③：自分・相手ターンに、このカードが墓地に存在する場合、自分のフィールド・墓地の「白き森」Sモンスター１体を対象として発動できる。そのモンスターをEXデッキに戻し、このカードを効果を無効にして特殊召喚する。
魔を刻むデモンスミス,/yugiohdb/get_image.action?type=1&osplang=1&cid=20196&ciid=1&enc=oxqAiu744LeA2NXuCNE0uA,このカード名の①②③の効果はそれぞれ１ターンに１度しか使用できない。①：このカードを手札から捨てて発動できる。デッキから「デモンスミス」魔法・罠カード１枚を手札に加える。②：自分フィールドの「デモンスミス」装備カード１枚とフィールドのモンスター１体を対象として発動できる。そのカードを墓地へ送る。③：このカードが墓地に存在する場合、自分の墓地から他の悪魔族・光属性モンスター１体をデッキ・EXデッキに戻して発動できる。このカードを特殊召喚する。
蕾禍ノ姫邪眼,/yugiohdb/get_image.action?type=1&osplang=1&cid=20197&ciid=1&enc=bLOjIr4e8FYD6R5v_YlJjA,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：このカードを手札から捨てて発動できる。手札から昆虫族・植物族・爬虫類族モンスター１体を特殊召喚する。②：このカードが手札・墓地から除外された場合に発動できる。このターンのエンドフェイズに、自分フィールドの昆虫族・植物族・爬虫類族モンスターの種族の種類の数だけ自分はドローする。
幻禄の天盃龍,/yugiohdb/get_image.action?type=1&osplang=1&cid=20198&ciid=1&enc=_wPb70BUR1g_LGt7S4gzIQ,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：このカードがドロー以外の方法で手札に加わった場合に発動できる。このカードをチューナー扱いで特殊召喚する。その後、このカードのレベルを１つ上げる事ができる。②：自分・相手ターンに、このカードをリリースして発動できる。デッキから「幻禄の天盃龍」以外の「天盃龍」モンスター１体を特殊召喚する。この効果の発動後、ターン終了時まで自分はドラゴン族モンスターしか特殊召喚できない。
メメント・スリーピィ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20199&ciid=1&enc=R7qp2urQdCS-5GOw1H0g7w,このカード名の①②③の効果はそれぞれ１ターンに１度しか使用できない。①：自分のモンスターが効果で破壊された自分・相手ターンに発動できる。このカードを手札から特殊召喚する。②：このカードが召喚・特殊召喚した場合に発動できる。自分の手札・フィールドのモンスターを融合素材とし、「メメント」融合モンスター１体を融合召喚する。③：このカードが戦闘・効果で破壊された場合に発動できる。デッキから「メメント・スリーピィ」以外の「メメント」カード１枚を墓地へ送る。
竜騎士アトリィ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20200&ciid=1&enc=NOCYrRDvPCzImrV0lrnVLw,このカード名の①③の効果はそれぞれ１ターンに１度しか使用できない。①：このカードが召喚・特殊召喚した場合、「エンブレーマ」カードと「センチュリオン」カードがそれぞれ自分の墓地に存在していれば発動できる。自分は１枚ドローする。このターン、自分は「竜騎士アトリィ」を特殊召喚できない。②：自分フィールドのこのカードをS素材とする場合、このカードをチューナー以外のモンスターとして扱う事ができる。③：このカードが永続罠カード扱いの場合、自分・相手のメインフェイズに発動できる。このカードを特殊召喚する。
竜輝巧－νⅡ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20201&ciid=1&enc=UIMrx6kn31_kyarhLPs9bQ,このカードは通常召喚できず、カードの効果でのみ特殊召喚できる。このカード名の①②の効果はそれぞれ１ターンに１度しか使用できず、この効果を発動するターン、自分は機械族モンスターしか儀式召喚できない。①：フィールドに「ドライトロン」カードが存在する場合に発動できる。このカードを手札・墓地から特殊召喚する。この効果で特殊召喚したこのカードは、フィールドから離れた場合に除外される。②：このカードが特殊召喚した場合に発動できる。デッキから「竜輝巧－νⅡ」以外の「ドライトロン」モンスター１体を手札に加える。
至天の魔王ミッシング・バロウズ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20202&ciid=1&enc=gQguxl9ZnvqGgVx_wx257Q,このカード名の②の効果は１ターンに１度しか使用できない。①：このカードは自分の墓地からカード３種類（モンスター・魔法・罠）を１枚ずつ除外し、手札から特殊召喚できる。②：このカードが手札から特殊召喚した場合に発動できる。モンスター１体と魔法・罠カード２枚を相手のフィールド・墓地から除外する。
祈りの女王－コスモクイーン,/yugiohdb/get_image.action?type=1&osplang=1&cid=20203&ciid=1&enc=sYpqcQWZwMLCyP4wOTShxQ,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：フィールド魔法カードが発動した場合に発動できる。このカードを手札から守備表示で特殊召喚する。②：フィールドゾーンの表側表示カード１枚を対象とし、そのコントローラーによって以下の効果を発動できる。●自分：対象のカードを破壊し、破壊したカードとはカード名が異なるフィールド魔法カード１枚をデッキから手札に加える。●相手：対象のカードの効果をターン終了時まで無効にし、デッキからフィールド魔法カード１枚を手札に加える。
シビレルダケ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20204&ciid=1&enc=AiVhUx1ws6GR8znp3pJfQA,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：元々の種族が雷族のモンスターが自分の手札・フィールドから墓地へ送られた場合に発動できる（ダメージステップでも発動可能）。このカードを手札から特殊召喚する。②：このカードがモンスターゾーンに存在する状態で、雷族モンスターの効果が手札で発動した場合に発動できる。自分フィールドに「シビレルトークン」（雷族・闇・星１・攻／守０）１体を特殊召喚する。
無孔砲塔－ディセイブラスター,/yugiohdb/get_image.action?type=1&osplang=1&cid=20205&ciid=1&enc=1yrazqL1BpWRvV9_yMMTSg,このカード名の①の方法による特殊召喚は１ターンに１度しかできない。①：カードが存在しない縦列がある場合、このカードはその縦列の自分フィールドに手札から特殊召喚できる。②：このカードがモンスターゾーンに存在する限り、このカードと同じ縦列で発動した魔法・罠・モンスターの効果は無効化される。③：モンスターゾーンのこのカードが破壊された場合に発動できる。このカードを自分のPゾーンに置く。
マルチャミー・プルリア,/yugiohdb/get_image.action?type=1&osplang=1&cid=20206&ciid=1&enc=UUg1dxridFCm5mDVf9lsbQ,このカードの効果を発動するターン、自分はこのカード以外の「マルチャミー」モンスターの効果を１度しか発動できない。①：自分・相手ターンに、自分フィールドにカードが存在しない場合、このカードを手札から捨てて発動できる。このターン中、以下の効果を適用する。●相手が手札からモンスターを召喚・特殊召喚する度に、自分は１枚ドローする。●エンドフェイズに、自分の手札が相手フィールドのカードの数＋６枚より多い場合、その差の数だけ自分の手札をランダムにデッキに戻す。
ドラ・ドラ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20207&ciid=1&enc=dEop9f8kOPCDU5Gvq7K0pg,このカード名の①の効果は１ターンに１度しか使用できない。①：このカードが召喚した場合に発動できる。デッキからレベル４以下のドラゴン族・炎属性モンスター１体を手札に加える。②：１ターンに１度、自分メインフェイズに発動できる。自分のデッキの一番上のカードをめくる。めくったカードがドラゴン族・炎属性モンスターだった場合、そのモンスターを墓地へ送り、このカードの攻撃力は自分フィールドの「ドラ・ドラ」の数×１０００アップする。違った場合、めくったカードをデッキの一番下に戻す。
ブルーミー,/yugiohdb/get_image.action?type=1&osplang=1&cid=20208&ciid=1&enc=rZFos4P9G6CMlgXeo28mRg,このカード名の効果は１ターンに１度しか使用できず、このカードをS素材とする場合、レベル８以下のモンスターのS召喚にしか使用できない。①：手札のこのカードと手札のモンスター１体を相手に見せて発動できる。その２体の内の１体を特殊召喚し、もう１体を除外する。この効果の発動後、ターン終了時まで自分はSモンスターしかEXデッキから特殊召喚できず、Sモンスターでしか攻撃宣言できない。
面子蝙蝠,/yugiohdb/get_image.action?type=1&osplang=1&cid=20209&ciid=1&enc=HRHE7ii80xvSfGoqR25IUA,①：１ターンに３度まで、相手がモンスターを召喚・特殊召喚した場合、その内の１体を対象として発動できる。コイントスを１回行う。表だった場合、そのモンスターを表側攻撃表示にする。裏だった場合、そのモンスターを裏側守備表示にする。②：１ターンに１度、このカードがモンスターゾーンに存在する状態で、フィールドのモンスターがリバースした場合、または表側表示モンスターが裏側守備表示になった場合、その内の１体を対象として発動できる（ダメージステップでも発動可能）。そのモンスターを表側攻撃表示か裏側守備表示にする。
五月豹,/yugiohdb/get_image.action?type=1&osplang=1&cid=20210&ciid=1&enc=fECDLszPkBhlSWfzAgpLzw,①：手札がこのカード１枚のみの場合に発動できる。このカードを特殊召喚する。②：このカードの①の効果で特殊召喚した場合に発動する。このカードの攻撃力は相手ターン終了時まで２５００になる。③：このカードが相手モンスターと戦闘を行う場合、その戦闘で発生する相手への戦闘ダメージは代わりに自分が受ける。④：このカードの戦闘で自分がダメージを受けた場合に発動する。このカードの攻撃力は０になる。その後、自分のLPが２０００以下の場合、このカードの攻撃力は５０００になる。
竜儀巧－メテオニス＝DAD,/yugiohdb/get_image.action?type=1&osplang=1&cid=20211&ciid=1&enc=BnBuV9XwLDJ1r1A95o1Jnw,「流星輝巧群」により降臨①：自分フィールドの他の「ドライトロン」モンスターは相手の効果では破壊されない。②：１ターンに２度まで、相手がモンスターの効果を発動した時、攻撃力の合計がそのモンスターの元々の攻撃力以上になるように、自分の墓地から「ドライトロン」モンスターを除外して発動できる。その発動を無効にし破壊する。③：儀式召喚したこのカードが相手によって破壊された場合に発動できる。手札・デッキから攻撃力４０００の儀式モンスター１体を儀式召喚扱いで特殊召喚する。
幻の召喚神エクゾディア,/yugiohdb/get_image.action?type=1&osplang=1&cid=20212&ciid=1&enc=J6l7VwOlHaSUhdhb-PWi5w,「封印されし」モンスター×５①：フィールドのこのカードは相手の効果では破壊されない。②：１ターンに１度、このカードが戦闘を行うダメージ計算時に発動できる。このカードの攻撃力は自分のLPの数値分アップする。③：１ターンに１度、魔法・罠カードの効果が発動した時に発動できる。その発動を無効にする。④：自分・相手のエンドフェイズに発動できる。デッキから「エグゾード」魔法・罠カード１枚を自分フィールドにセットする。⑤：自分スタンバイフェイズに発動する。自分は１０００LPを失う。
光と闇の竜王,/yugiohdb/get_image.action?type=1&osplang=1&cid=20213&ciid=1&enc=iyH2kSfvJ6gtO46yfukMnw,ドラゴン族・光属性・レベル８モンスター＋ドラゴン族・闇属性・レベル８モンスターこのカードは融合召喚でしか特殊召喚できない。①：このカードがモンスターゾーンに存在する限り、このカードの属性は「闇」としても扱う。②：モンスターの効果・魔法・罠カードが発動した時に発動する（同一チェーン上では１度まで）。このカードの攻撃力・守備力を１０００ダウンし、その発動を無効にする。③：このカードが相手によって破壊された場合、自分の墓地のドラゴン族モンスター１体を対象として発動できる。そのモンスターを特殊召喚する。
刻まれし魔ラクリモーサ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20214&ciid=1&enc=pPPb4FePIjLypys5HZ2uiQ,悪魔族・光属性モンスター×２このカード名の①③の効果はそれぞれ１ターンに１度しか使用できない。①：このカードが融合召喚した場合、自分の墓地・除外状態の悪魔族・光属性モンスター１体を対象として発動できる。そのモンスターを手札に加えるか特殊召喚する。②：このカードがモンスターゾーンに存在する限り、相手フィールドのモンスターの攻撃力は６００ダウンする。③：このカードが墓地へ送られた場合、自分の墓地から他の悪魔族・光属性モンスター１体をデッキ・EXデッキに戻して発動できる。相手に１２００ダメージを与える。
刻まれし魔ディエスイレ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20215&ciid=1&enc=XpAyUYXmuOqCSR_mZoDIZQ,「魔を刻むデモンスミス」＋悪魔族・光属性モンスター×２このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分・相手ターンに発動できる。このカードが装備しているLモンスターのリンクマーカーの合計までフィールドの表側表示カードを選び、その効果をターン終了時まで無効にする。②：このカードが墓地へ送られた場合、自分の墓地から他の悪魔族・光属性モンスター１体をデッキ・EXデッキに戻し、フィールドのカード１枚を対象として発動できる。そのカードを墓地へ送る。
冥骸王－メメントラン・テクトリカ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20216&ciid=1&enc=hmCG0p0u597VEqWttRMacw,「メメント」モンスター×３このカード名の、①②③の効果はそれぞれ１ターンに１度しか使用できず、①②の効果は同一チェーン上では発動できない。①：このカードが融合召喚した場合に発動できる。デッキ・EXデッキから「メメント」カード３枚を墓地へ送る。②：自分・相手ターンに、自分フィールドの「メメント」モンスターと相手フィールドのカードをそれぞれ同じ数だけ対象として発動できる。そのカードを破壊する。③：墓地のこのカードを除外して発動できる。デッキから「冥骸府－メメントラン」１枚を手札に加える。
白き森の魔狼シルウィア,/yugiohdb/get_image.action?type=1&osplang=1&cid=20217&ciid=1&enc=XNJrKIRxf6Vl52PrvBkXOw,チューナー＋チューナー以外のモンスター１体以上①：このカードが特殊召喚した場合に発動できる。相手フィールドの表側表示モンスターを全て裏側守備表示にする。②：このカードがモンスターゾーンに存在する限り、自分フィールドの幻想魔族・魔法使い族のSモンスターは、攻撃力が５００アップし、守備表示モンスターを攻撃した場合、その守備力を攻撃力が超えた分の倍の数値だけ相手に戦闘ダメージを与える。
白き森の魔性ルシエラ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20218&ciid=1&enc=16qhVbXvOJrehqvJseVVDA,チューナー＋チューナー以外のモンスター１体以上このカード名の①の効果は１ターンに１度しか使用できない。①：このカードが特殊召喚した場合、自分の手札・フィールドから魔法・罠カード１枚を墓地へ送って発動できる。デッキから「白き森」カード１枚か魔法使い族・光属性モンスター１体を手札に加える。②：このカードがモンスターゾーンに存在する限り、自分フィールドの幻想魔族・魔法使い族のSモンスターは、攻撃力が５００アップし、相手の効果では破壊されない。
白き森の妖魔ディアベル,/yugiohdb/get_image.action?type=1&osplang=1&cid=20219&ciid=1&enc=7yw8T-X9zUSoUDpcldX24A,チューナー＋チューナー以外のモンスター１体以上このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：このカードがSモンスターのチューナーを素材としてS召喚した場合、自分の墓地の魔法・罠カード１枚を対象として発動できる。そのカードを手札に加える。②：相手が魔法・罠・モンスターの効果を発動した時、自分の手札・フィールドから魔法・罠カード１枚を墓地へ送って発動できる。自分のEXデッキ・墓地・除外状態のレベル７以下のSモンスターのチューナー１体を特殊召喚する。
DPAジャンダムーア,/yugiohdb/get_image.action?type=1&osplang=1&cid=20220&ciid=1&enc=LWM_OS_yWehWOGuymz6KvA,チューナー＋チューナー以外のモンスター１体以上このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：このカードがS召喚した場合に発動できる。自分の墓地からサイバース族・レベル４モンスター１体を効果を無効にして守備表示で特殊召喚する。このターン、自分はサイバース族モンスターしか特殊召喚できない。②：自分のサイバース族モンスターが相手モンスターとの戦闘で相手に戦闘ダメージを与えた時、墓地のこのカードを除外して発動できる。その数値分だけ相手にダメージを与える。
ギミック・パペット－ファンタジクス・マキナ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20221&ciid=1&enc=qCKsX2O3RA8EuDG-js1B0A,レベル８モンスター×２このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：このカードのX素材を１つ取り除いて発動できる。デッキから「RUM」魔法カード１枚を手札に加える。このターン、自分は通常召喚に加えて１度だけ、自分メインフェイズに機械族モンスター１体を召喚できる。②：自分が「ギミック・パペット」Xモンスターを特殊召喚した場合に発動できる。このカードを墓地から自分か相手のフィールドに守備表示で特殊召喚する。その後、自分の墓地から「RUM」魔法カード１枚を手札に加える事ができる。
CX ギミック・パペット－ファナティクス・マキナ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20222&ciid=1&enc=9ZwKo4RsqFHRBR87R6gjRQ,レベル９モンスター×３このカード名の①②③の効果はそれぞれ１ターンに１度しか使用できない。①：このカードが特殊召喚した場合に発動できる。デッキから「パペット」罠カード１枚を手札に加える。②：このカードのX素材を１つ取り除いて発動できる。自分か相手の墓地からモンスター１体を相手フィールドに守備表示で特殊召喚する。③：相手フィールドにモンスターが特殊召喚された場合、その内の１体を対象として発動できる。そのモンスターを破壊し、その元々の攻撃力の半分のダメージを相手に与える。
クイーンマドルチェ・ティアラフレース,/yugiohdb/get_image.action?type=1&osplang=1&cid=20223&ciid=1&enc=BCdn9osNcgdO1uXDf66LWg,レベル５「マドルチェ」モンスター×３「クイーンマドルチェ・ティアラフレース」は１ターンに１度、自分フィールドの「クイーンマドルチェ・ティアラミス」の上に重ねてX召喚する事もできる。①：相手ターンに１度、このカードのX素材を１つ取り除き、自分の墓地の「マドルチェ」カードを２枚まで対象として発動できる。そのカードをデッキに戻し、戻した数まで相手フィールドのカードをデッキに戻す。②：このカードが相手によって破壊され墓地へ送られた場合に発動する。このカードをEXデッキに戻す。
異端なるフォボスコボス,/yugiohdb/get_image.action?type=1&osplang=1&cid=20224&ciid=1&enc=u6teGZbyRnShD9w-CBYQmQ,レベル４モンスター×２このカード名の①の効果は１ターンに１度しか使用できない。①：相手フィールドの効果モンスター１体を対象として発動できる（このカードが幻想魔族モンスターをX素材としている場合、この効果は相手ターンでも発動できる）。対象のモンスターの効果を無効にする。そのモンスターがこのターンに戦闘を行っている場合、さらにそのコントロールをエンドフェイズまで得る事ができる。②：このカードがモンスターと戦闘を行う場合、その２体はその戦闘では破壊されない。
刻まれし魔の鎮魂棺,/yugiohdb/get_image.action?type=1&osplang=1&cid=20225&ciid=1&enc=fsSCqlmXpQUwJ4-FqinRnQ,悪魔族・光属性モンスター１体自分は「刻まれし魔の鎮魂棺」を１ターンに１度しか特殊召喚できず、その②の効果は１ターンに１度しか使用できない。①：自分・相手のメインフェイズに、このカードをリリースして発動できる。手札・デッキから「デモンスミス」モンスター１体を特殊召喚する。②：Lモンスター以外の自分フィールドの悪魔族・光属性モンスター１体を対象として発動できる。自分のフィールド・墓地からこのカードを攻撃力６００アップの装備魔法カード扱いでその自分のモンスターに装備する。
刻まれし魔の大聖棺,/yugiohdb/get_image.action?type=1&osplang=1&cid=20226&ciid=1&enc=aLlGpR-84yf6tqGN1vO2mw,悪魔族・光属性モンスターを含むモンスター２体このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分メインフェイズに発動できる。自分の墓地のモンスターを融合素材としてデッキに戻し、悪魔族の融合モンスター１体を融合召喚する。②：Lモンスター以外の自分フィールドの悪魔族・光属性モンスター１体を対象として発動できる。自分のフィールド・墓地からこのカードを以下の効果を持つ装備魔法カード扱いでその自分のモンスターに装備する。●相手は装備モンスターを効果の対象にできない。
